Name	Ident_A	Ident_B	Ident_C	Ident_D	ID	RI_Agilent	RI_Restek	RI_Thermo	Author
Isobutanoic acid_ 3-amino-_(3TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	38	1458	1475	1460	MauiSILVIAPHJLK
Malic acid_(3TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	39	1486	1507	1489	MauiSILVIAPHJLK
Erythritol_(4TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	40	1501	1536	1503	contrib by M. Pietzke 
Putrescine_(3TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	41	1505	1522	1508	MauiSILVIAPHJLK
Methionine_(2TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	42	1515	1532	1515	MauiSILVIAPHJLK
Aspartic acid_(3TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	43	1516	1540	1520	MauiSILVIAPHJLK
Pyroglutamic acid_(2TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	44	1519	1534	1516	MauiSILVIAPHJLK
Cytosine_(2TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	45	1521	1537	1517	MauiSILVIAPHJLK
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	46	1525	1544	1528	MauiSILVIAPHJLK
Glutamic acid_(2TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	47	1532	1543	1531	MauiSILVIAPHJLK
Phenylalanine_(1TMS)_BP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	48	1549	1554	1542	MauiSILVIAPHJLK
Creatinine_(3TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	49	1549	1573	1549	MauiSILVIAPHJLK
Cysteine_(3TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	50	1552	1574	1554	MauiSILVIAPHJLK
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	51	1568	1600	1574	MauiSILVIAPHJLK
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	52	1570	1601	1576	MauiSILVIAPHJLK
Serine_(4TMS)_BP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	53	1571	NA	1573	MauiSILVIAPHJLK
Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	54	1573	1596	1577	MauiSILVIAPHJLK
Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	55	1577	1596	1577	MauiSILVIAPHJLK
Proline [+CO2]_(2TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	56	1583	1597	1580	MauiSILVIAPHJLK
Homocysteine_(2TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	57	1583	1590	1580	contrib by M. Pietzke 
Hypotaurine_(3TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	58	1597	1615	1597	MauiSILVIAPHJLK
Phosphoenolpyruvic acid_(3TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	59	1597	1624	1598	MauiSILVIAPHJLK
Asparagine_(2TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	60	1599	1609	1595	MauiSILVIAPHJLK
Glutamic acid_(3TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	61	1618	1640	1621	MauiSILVIAPHJLK
Phenylalanine_(2TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	62	1625	1642	1624	MauiSILVIAPHJLK
Cytosine_(3TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	63	1625	1647	1624	MauiSILVIAPHJLK
Xylose_(1MEOX)(4TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	64	1640	1681	1642	MauiSILVIAPHJLK
Xylose_(1MEOX)(4TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	65	1649	1690	NA	MauiSILVIAPHJLK
Homocysteine_(3TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	66	1662	1680	1661	contrib by M. Pietzke 
Asparagine_(3TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	67	1666	1689	1667	MauiSILVIAPHJLK
Ribose_(1MEOX)(4TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	68	1669	1696	1678	MauiSILVIAPHJLK
Arabitol_(5TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	69	1708	1711	1719	MauiSILVIAPHJLK
Ribitol_(5TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	70	1713	1716	1724	MauiSILVIAPHJLK
Putrescine_(4TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	71	1729	1754	1734	MauiSILVIAPHJLK
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	72	1739	1773	1741	MauiSILVIAPHJLK
Aconitic acid_ cis-_(3TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	73	1747	1768	1749	MauiSILVIAPHJLK
Ornithine_(3TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	74	1748	1768	1748	MauiSILVIAPHJLK
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	75	1751	1785	1753	MauiSILVIAPHJLK
Glycerol-3-phosphate_(4TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	76	1756	1794	1761	MauiSILVIAPHJLK
Glutamine_(3TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	77	1771	1793	1772	MauiSILVIAPHJLK
Ethanolaminephosphate_(4TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	78	1777	1810	1780	contrib by M. Pietzke 
Glutamic acid_ N-acetyl-_(2TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	79	1784	1799	1780	MauiSILVIAPHJLK
Glyceric acid-3-phosphate_(4TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	80	1802	1840	1805	MauiSILVIAPHJLK
Hypoxanthine_(2TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	81	1807	1822	NA	contrib by M. Pietzke 
Ornithine_(4TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	82	1812	1841	1817	MauiSILVIAPHJLK
